"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","attn_check_1","attn_check_2","attn_check_3_1","attn_check_3_2","attn_check_3_3","attn_check_4","original_essence_1","same_company_1","agree_person_1","reflect_essence_1","remain_bad_essence_1","remain_good_essence_1","comp_before","comp_after","politics_1","gender","gender_4_TEXT","ethnicity","ethnicity_5_TEXT","age","education","education_9_TEXT","comments","StudyID","Vignette1","VignetteID1","Vignette2","VignetteID2","FL_5_DO"
"1/27/22 14:11","1/27/22 14:12",0,"Anonymized",100,40,1,"1/27/22 14:12","R_1Q3qGNCLgxAniS8",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,58,34,83,38,28,50,2,1,NA,NA,"",NA,"","test",NA,"","test","cmc_6","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using cheap and uninspected materials to maximize profit, with lesser regard for ensuring patient safety. The products they sell using quality and properly inspected materials are just a thin veneer over this more essential part of the product line. ","bad_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from quality and properly inspected materials. Instead, from this day onward, the company always sells products made from just cheap and uninspected materials.","deteriorate_essence","FL_41"
"1/27/22 14:19","1/27/22 14:21",0,"Anonymized",100,117,1,"1/27/22 14:21","R_2dT4z2w2ubyUbVA",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,51,35,59,69,29,56,2,2,29,1,"",3,"","34",2,"","","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using quality and properly inspected materials to ensure patient safety, with lesser regard for maximizing profit. The products they sell using cheap and uninspected materials are just a thin veneer over this more essential part of the product line. ","good_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from cheap and uninspected materials. Instead, from this day onward, the company always sells products made from just quality and properly inspected materials.","improve_essence","FL_36"
"1/27/22 14:19","1/27/22 14:22",0,"Anonymized",100,190,1,"1/27/22 14:22","R_3oZnxBTKsE4GSjr",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,67,22,9,12,26,63,1,1,51,1,"",1,"","36",2,"","","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using quality and properly inspected materials to ensure patient safety, with lesser regard for maximizing profit. The products they sell using cheap and uninspected materials are just a thin veneer over this more essential part of the product line. ","good_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from quality and properly inspected materials. Instead, from this day onward, the company always sells products made from just cheap and uninspected materials.","deteriorate_essence","FL_37"
"1/27/22 14:20","1/27/22 14:23",0,"Anonymized",100,195,1,"1/27/22 14:23","R_3R8U6raJmXxDtJ6",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,10,4,60,56,96,95,1,3,45,1,"",3,"","21",4,"","","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using cheap and uninspected materials to maximize profit, with lesser regard for ensuring patient safety. The products they sell using quality and properly inspected materials are just a thin veneer over this more essential part of the product line. ","bad_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from quality and properly inspected materials. Instead, from this day onward, the company always sells products made from just cheap and uninspected materials.","deteriorate_essence","FL_41"
"1/27/22 14:19","1/27/22 14:24",0,"Anonymized",100,309,1,"1/27/22 14:24","R_3KMXMBzEsetrNH7",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,10,100,100,100,0,100,3,2,22,2,"",1,"","36",3,"","","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using cheap and uninspected materials to maximize profit, with lesser regard for ensuring patient safety. The products they sell using quality and properly inspected materials are just a thin veneer over this more essential part of the product line. ","bad_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from cheap and uninspected materials. Instead, from this day onward, the company always sells products made from just quality and properly inspected materials.","improve_essence","FL_38"
"1/27/22 14:20","1/27/22 14:25",0,"Anonymized",100,302,1,"1/27/22 14:25","R_3Pw67x8B2bSGylv",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,70,90,50,0,0,100,1,2,0,2,"",1,"","34",5,"","None.","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using quality and properly inspected materials to ensure patient safety, with lesser regard for maximizing profit. The products they sell using cheap and uninspected materials are just a thin veneer over this more essential part of the product line. ","good_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from cheap and uninspected materials. Instead, from this day onward, the company always sells products made from just quality and properly inspected materials.","improve_essence","FL_36"
"1/27/22 14:21","1/27/22 14:25",0,"Anonymized",100,222,1,"1/27/22 14:25","R_1rkMARRWgaIh3bX",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,31,36,10,17,94,10,1,3,39,2,"",1,"","29",5,"","","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using cheap and uninspected materials to maximize profit, with lesser regard for ensuring patient safety. The products they sell using quality and properly inspected materials are just a thin veneer over this more essential part of the product line. ","bad_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from quality and properly inspected materials. Instead, from this day onward, the company always sells products made from just cheap and uninspected materials.","deteriorate_essence","FL_41"
"1/27/22 14:25","1/27/22 14:28",0,"Anonymized",100,193,1,"1/27/22 14:28","R_WdOtwgeMJ8LSYoN",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,63,100,1,100,100,1,1,3,87,2,"",1,"","29",4,"","No.","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using quality and properly inspected materials to ensure patient safety, with lesser regard for maximizing profit. The products they sell using cheap and uninspected materials are just a thin veneer over this more essential part of the product line. ","good_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from quality and properly inspected materials. Instead, from this day onward, the company always sells products made from just cheap and uninspected materials.","deteriorate_essence","FL_37"
"1/27/22 14:57","1/27/22 14:59",0,"Anonymized",100,110,1,"1/27/22 14:59","R_1GOXCVrd3jDs7GN",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,3,31,8,6,81,90,3,2,49,1,"",2,"","25",4,"","","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using cheap and uninspected materials to maximize profit, with lesser regard for ensuring patient safety. The products they sell using quality and properly inspected materials are just a thin veneer over this more essential part of the product line. ","bad_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from cheap and uninspected materials. Instead, from this day onward, the company always sells products made from just quality and properly inspected materials.","improve_essence","FL_38"
"1/27/22 14:58","1/27/22 15:00",0,"Anonymized",100,129,1,"1/27/22 15:00","R_TjYQuxxpZLCLaHn",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,62,25,20,18,0,100,1,2,1,1,"",1,"","37",5,"","","cmc_8","In the present day, some companies sell a mixture of products made from cheap and uninspected materials and products made from quality and properly inspected materials. But <em>Medical Connect</em>, a small company that sells medical equipment, is different. Even though it sells a mix of these two kinds of products, everyone who purchases products from the company can tell that the real essence of the company is its focus on using quality and properly inspected materials to ensure patient safety, with lesser regard for maximizing profit. The products they sell using cheap and uninspected materials are just a thin veneer over this more essential part of the product line. ","good_essence","...Then, after a number of years, there is a sudden administrative change. The manager of the company is replaced by a new manager who decides to shake things up in certain ways. Specifically, the new manager decides to completely eliminate all products made from cheap and uninspected materials. Instead, from this day onward, the company always sells products made from just quality and properly inspected materials.","improve_essence","FL_36"
