"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","att1","att2","consent","Q110","elon_musk_first_10","warren_buffet_second_10","warren_buffet_first_10","elon_musk_second_10","comp1","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","PROLIFIC_PID"
"Start Date","End Date","Response Type",1,"Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",1,1,"Distribution Channel","User Language","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","Informed Consent 



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 3 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $0.50 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is [Anonymized] who can be reached at 626.559.6401; [Anonymized]. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at XYZ. They can be reached at XYZ for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","In your opinion, what is Elon Musk's political orientation?","In your opinion, what is Warren Buffet's political orientation?","In your opinion, what is Warren Buffet's political orientation?","In your opinion, what is Elon Musk's political orientation?","In this survey you were asked to...","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","Please indicate the highest level of education completed. - Selected Choice","Please indicate the highest level of education completed. - Other (please specify) - Text","PROLIFIC_PID"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",2,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",2,2,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID1""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID113_10""}","{""ImportId"":""QID123_10""}","{""ImportId"":""QID132_10""}","{""ImportId"":""QID131_10""}","{""ImportId"":""QID136""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
"2024-01-18 08:27:41","2024-01-18 08:28:31","0",3,"100","50","1","2024-01-18 08:28:32","R_6290CBv6vFZea5z","","","","",3,3,"anonymous","EN","2","2","1","5c1a7f152a85450001a876e0","100","90","","","2","1","","1","","55","4","","5c1a7f152a85450001a876e0"
"2024-01-18 08:33:35","2024-01-18 08:34:28","0",4,"100","52","1","2024-01-18 08:34:28","R_5xQoy7NKEWcWRm4","","","","",4,4,"anonymous","EN","2","2","1","5cec2e7e8004cb00184e0689","6","93","","","2","2","","3","","27","1","","5cec2e7e8004cb00184e0689"
"2024-01-18 08:44:18","2024-01-18 08:45:08","0",5,"100","50","1","2024-01-18 08:45:09","R_7wFCyjwRtRM0Yyc","","","","",5,5,"anonymous","EN","2","2","1","62fe6312269d0e4ae894297b","","","42","89","2","1","","3","","33","1","","62fe6312269d0e4ae894297b"
"2024-01-18 08:45:23","2024-01-18 08:46:41","0",6,"100","77","1","2024-01-18 08:46:41","R_3D7ZJDf1BZaSHnr","","","","",6,6,"anonymous","EN","2","2","1","65524ce2443c9df5aba5960c","81","63","","","2","2","","3","","59","1","","65524ce2443c9df5aba5960c"
"2024-01-18 08:45:03","2024-01-18 08:46:42","0",7,"100","98","1","2024-01-18 08:46:42","R_5R7SYSNIglk9RD5","","","","",7,7,"anonymous","EN","2","2","1","6234f954ebf560c4741256ad","70","0","","","2","2","","3","","57","4","","6234f954ebf560c4741256ad"
"2024-01-18 08:45:13","2024-01-18 08:48:36","0",8,"100","202","1","2024-01-18 08:48:36","R_5arc1e1hwucIkQU","","","","",8,8,"anonymous","EN","2","2","1","6140d7cdf9bc6016591c2878","","","78","83","2","2","","3","","47","2","","6140d7cdf9bc6016591c2878"
"2024-01-18 08:48:12","2024-01-18 08:49:03","0",9,"100","50","1","2024-01-18 08:49:03","R_1hGyrOfwrzTPA7N","","","","",9,9,"anonymous","EN","2","2","1","610031c14f729658346606e6","40","71","","","2","2","","3","","24","4","","610031c14f729658346606e6"
"2024-01-18 08:48:47","2024-01-18 08:49:27","0",10,"100","40","1","2024-01-18 08:49:28","R_3hEhJDUYZA29XpO","","","","",10,10,"anonymous","EN","2","2","1","60be09fe05b5adf03149a85f","","","87","70","2","2","","3","","42","3","","60be09fe05b5adf03149a85f"
"2024-01-18 08:49:30","2024-01-18 08:49:40","0",11,"100","10","1","2024-01-18 08:49:41","R_6IvfmYJXgXGOSj9","","","","",11,11,"anonymous","EN","2","1","","","","","","","","","","","","","","","56a937ce119265000b6e1504"
